Location,Unique_Id,row,col,Genotype,PlHa,PHI,YdHa,YdPl,SW,PSN,SWP,HI,VPP,StWP,PlHa_cat
INV-M3-1,20GH2CA698,18,24,GCDT_145,5.0,61.95752539,559.1666667,2.684,0.223666667,2.307692308,0.5161538461538462,27.91762014,35.0,26.41,2.0
INV-M3-1,20GH2CA800,17,27,GCDT_057,5.0,76.51006711,570.0,2.736,0.141030928,2.552631579,0.36,51.72022684,1.0,8.57,2.0
INV-M3-1,20GH2CA634,22,22,GCDT_018,3.0,78.35990888,573.3333333,4.586666667,0.237241379,3.411764706,0.8094117647058824,50.88757396,1.0,9.48,1.0
INV-M3-1,20GH2CA676,5,23,GCDT_148,4.0,75.05422993,576.6666667,3.46,0.21968254,3.315789474,0.728421052631579,36.5653897,6.0,19.41,1.0
INV-M3-1,20GH2CA604,9,21,GCDT_263,5.0,70.82906858,576.6666667,2.768,0.17974026,1.673913043,0.3008695652173913,32.00740056,,23.7,2.0
INV-M3-1,20GH2CA671,10,23,GCDT_241,5.0,65.86515794,582.0833333,2.794,0.249464286,1.696969697,0.42333333333333334,41.96455392,40.0,12.08,2.0
INV-M3-1,20GH2CA519,26,19,GCDT_076,4.0,71.44314125,583.75,3.5025,0.181948052,2.961538462,0.5388461538461539,34.66963623,60.0,20.8,1.0
INV-M3-1,20GH2CA436,28,16,GCDT_154,5.0,67.61172513,586.25,2.814,0.230655738,1.848484848,0.4263636363636364,20.71859814,4.0,47.1,2.0
INV-M3-1,20GH2CA455,22,17,GCDT_011,5.0,67.86916787,587.9166667,2.822,0.188133333,3.260869565,0.6134782608695651,21.98161707,31.0,43.4,2.0
INV-M3-1,20GH2CA725,24,25,GCDT_227,4.0,78.00989555,591.25,3.5475,0.232622951,4.066666667,0.946,53.4060971,3.0,8.38,1.0
INV-M3-1,20GH2CA730,19,25,GCDT_105,4.0,70.17114914,597.9166667,3.5875,0.177160494,2.076923077,0.3679487179487179,47.09550377,1.0,10.02,1.0
INV-M3-1,20GH2CA580,33,21,GCDT_246,4.0,34.37125749,597.9166667,3.5875,0.22421875,1.306122449,0.29285714285714287,11.63356303,248.0,81.6,1.0
INV-M3-1,20GH2CA735,14,25,GCDT_242,4.0,,601.6666667,3.61,0.138846154,3.058823529,0.42470588235294116,,45.0,,1.0
INV-M3-1,20GH2CA566,22,20,GCDT_074,4.0,78.87554585,602.0833333,3.6125,0.314130435,2.705882353,0.85,39.89508559,,17.9,1.0
