,HI_M3-Ambiente,PHI_M3-Ambiente,PSN_M3-Ambiente,SW_M3-Ambiente,SWP_M3-Ambiente,StWP_M3-Ambiente,VPP_M3-Ambiente,YdHa_M3-Ambiente,YdPl_M3-Ambiente,HI_INV-M3-1,PHI_INV-M3-1,PSN_INV-M3-1,SW_INV-M3-1,SWP_INV-M3-1,StWP_INV-M3-1,VPP_INV-M3-1,YdHa_INV-M3-1,YdPl_INV-M3-1,HI_INV-M3-2,PHI_INV-M3-2,PSN_INV-M3-2,SW_INV-M3-2,SWP_INV-M3-2,StWP_INV-M3-2,VPP_INV-M3-2,YdHa_INV-M3-2,YdPl_INV-M3-2,PHI_Caribia,YdHa_Caribia,YdPl_Caribia,PHI_Espinal,SW_Espinal,YdHa_Espinal,YdPl_Espinal
GCDT_196,54.696,73.832,3.259,0.189,0.586,10.333,3.359,989.317,6.676,35.752,67.101,2.819,0.184,0.523,18.152,13.156,901.391,4.967,NA,NA,3.027,0.276,0.82,NA,6.997,1177.442,7.847,67.609,112.27,2.229,74.77,0.263,1295.767,13.75
GCDT_197,59.074,74.884,4.343,0.203,0.921,11.988,3.847,1464.063,9.309,50.25,72.846,3.702,0.218,0.796,30.82,13.244,2012.809,9.978,55.14,79.033,4.26,0.212,0.985,23.814,6.622,1721.304,10.577,69.331,145.231,2.723,77.848,0.214,1046.787,10.425
GCDT_198,45.664,67.837,3.109,0.199,0.603,16.09,3.939,982.984,6.308,32.383,64.575,2.838,0.285,0.791,27.782,13.524,889.5,5.308,27.45,59.472,1.821,0.326,0.507,22.068,12.934,627.61,4.693,68.384,127.137,2.323,77.619,0.256,1185.335,11.772
GCDT_199,48.453,69.92,3.462,0.186,0.643,10.734,3.373,789.268,5.593,38.684,62.925,2.744,0.191,0.533,32.274,13.399,1261.171,6.757,NA,NA,NA,NA,NA,34.03,15.484,NA,NA,65.884,129.923,2.316,74.348,NA,NA,NA
GCDT_200,48.625,69.355,2.763,0.195,0.536,7.59,3.974,688.431,4.867,43.205,71.372,2.162,0.253,0.547,27.473,13.433,1376.802,8.91,47.859,74.862,2.468,0.244,0.534,16.728,NA,771.893,5.771,66.787,121.407,2.31,74.12,0.23,913.52,8.982
GCDT_201,53.516,72.829,3.271,0.194,0.626,8.572,3.549,869.169,6.511,36.97,60.991,2.228,0.147,0.352,17.357,13.714,559.747,3.393,51.392,71.759,2.869,0.222,0.67,12.868,14.271,825.105,5.899,71.326,203.883,2.87,76.959,0.251,927.488,9.419
GCDT_202,59.254,73.447,3.901,0.187,0.72,7.223,3.386,1077.284,7.207,53.816,72.841,3.678,0.203,0.736,19.562,12.902,1525.844,9.181,60.411,76.114,3.986,0.204,0.815,12.248,5.779,1410.881,11.545,72.241,171.424,2.625,77.071,0.214,1034.757,11.019
GCDT_203,52.496,71.528,3.363,0.185,0.609,6.86,3.506,770.678,5.714,37.32,66.09,3.091,0.186,0.571,31.666,13.105,1186.238,6.478,41.778,71.604,3.16,0.212,0.648,28.663,6.471,1140.295,7.775,63.878,136.592,2.38,76.424,0.229,1044.934,10.37
GCDT_204,NA,NA,NA,NA,NA,10.627,NA,NA,NA,33.588,64.591,1.936,0.178,0.356,26.197,13.202,891.534,5.149,37.341,72.379,2.543,0.199,0.522,20.664,NA,674.789,5.661,NA,NA,NA,NA,NA,NA,NA
GCDT_205,58.256,72.761,2.849,0.222,0.598,12.982,3.524,1622.167,13.053,48.386,70.708,2.547,0.224,0.549,39.276,13.028,2302.219,11.222,48.323,71.319,2.508,0.228,0.599,30.929,15.169,1742.67,11.133,67.61,109.813,2.196,76.502,0.24,1041.555,11.157
